head_entity,head_entity_type,relation,tail_entity,tail_entity_type
Blockchain Technology Adoption,Agri_Method,Used_For,Agriculture Supply Chain,Agri_Process
Mahak Sharma,Person,Conjunction,Ashwaq Al Khalil,Person
Ashwaq Al Khalil,Person,Conjunction,Tugrul Daim,Person
The Netherlands,Location,Conjunction,United States,Location
United States,Location,Conjunction,Saudi Arabia,Location
Saudi Arabia,Location,Conjunction,India,Location
Interpretive Structural Modeling—Decision Making Trial and Evaluation Laboratory,ML_Model,Used_For,identifying the factors and ranking them based on their extent of influence,Agri_Process
policies,Policy,Helps_In,BCT adoption in the agriculture supply chain,Agri_Process
farmers,Person,Used_For,Agricultural supply chain,Agri_Process
agri-produce,Crop,Used_For,supply chain partners,Organization
technology adoption in agri-SC,Agri_Method,Helps_In,farmer’s life,Other
30 July 2021,Date_and_Time,Conjunction,22 December 2021,Date_and_Time
22 December 2021,Date_and_Time,Conjunction,12 July 2022,Date_and_Time
12 July 2022,Date_and_Time,Conjunction,14 July 2022,Date_and_Time
14 July 2022,Date_and_Time,Conjunction,10 August 2022,Date_and_Time
10 August 2022,Date_and_Time,Conjunction,7 August 2024,Date_and_Time
Mahak Sharma,Person,Origin_Of,"Birla Institute of Management Technology, Noida 201306, India",Location
Ashwaq Al Khalil,Person,Origin_Of,"Portland State University, Portland, OR 97201 USA",Location
Tugrul Daim,Person,Origin_Of,"Portland State University, Portland, OR 97201 USA",Location
Tugrul Daim,Person,Origin_Of,"Chaoyang University of Technology, Taichung City 41281, Taiwan",Location
Tugrul Daim,Person,Origin_Of,"Yildiz Technical University, Istanbul 34349, Türkiye",Location
technology adoption,Agri_Method,Helps_In,agriculture,Agri_Process
technology adoption,Agri_Method,Used_For,sowing of seeds,Agri_Process
technology adoption,Agri_Method,Used_For,harvesting of crop,Agri_Process
food sector,Food_Item,Includes,supply chain management,Agri_Process
food’s quality,Food_Item,Caused_By,bounded shelf life,Duration
agricultural food products,Food_Item,Includes,food wastage,Agri_Waste
USA,Location,Caused_By,food wastage,Agri_Waste
China,Location,Caused_By,food wastage,Agri_Waste
food wastage,Agri_Waste,Caused_By,agricultural nonpoint source pollution,Agri_Pollution
food wastage,Agri_Waste,Caused_By,greenhouse gas emissions,Agri_Pollution
U.K. supermarkets,Organization,Caused_By,food waste,Agri_Waste
food waste,Agri_Waste,Caused_By,lack of transparency,Other
innovative technology,Technology,Helps_In,food waste,Agri_Waste
IEEE,Organization,Includes,https://www.ieee.org/publications/rights/index.html,Citation
blockchain technology,Technology,Used_For,supply chain management of agri-produce,Agri_Process
blockchain technology,Technology,Used_For,food traceability in agri-SCs,Agri_Process
Hyperledger fabric,Technology,Used_For,tracking foods,Agri_Process
Amazon,Organization,Used_For,tracking foods,Agri_Process
Walmart,Organization,Used_For,tracking foods,Agri_Process
Carrefour1,Organization,Used_For,"tracking its meat, milk, and fruit production",Agri_Process
Nestle2,Organization,Used_For,blockchain technology,Technology
blockchain technology,Technology,Helps_In,mitigate problems faced by stakeholders due to poor processes and primitive technologies,Agri_Process
SHARMA et al.,Citation,Includes,blockchain technology,Technology
$210.2 million in 2016,Money,Includes,BCT market growth,Other
$2312.5 million by 2021,Money,Includes,BCT market growth,Other
$45 million in 2018,Money,Includes,growth in SC management,Other
$3314.6 million by 2023,Money,Includes,growth in SC management,Other
